--------------------------------------------------【Header】--------------------------------------------------
2022-07-23 11:29:50,324 INFO  [35964-6] DisplayManage  修改外屏亮度为：77  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:50,488 INFO  [35964-11] DisplayManage  修改外屏亮度为：81  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:30:02,875 INFO  [35964-6] DisplayManage  修改外屏亮度为：26  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:30:03,438 INFO  [35964-11] DisplayManage  修改外屏亮度为：77  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:30:03,788 INFO  [35964-12] DisplayManage  修改外屏亮度为：85  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:55:14,809 INFO  [35964-21] DisplayInfo  DisplayInformation.GetDisplayMonitorsAsync() 获取到设备数量：2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfo.cs(63行)
2022-07-23 11:55:14,810 INFO  [35964-21] DisplayInfo  [{"DeviceInstanceId":"DISPLAY\\MSI3CA3\\5&14475071&0&UID4356","DisplayName":"MSI PAG271CQR","IsInternal":false,"ConnectionDescription":"HDMI","PhysicalSize":26.9708023},{"DeviceInstanceId":"DISPLAY\\CSO1609\\5&14475071&0&UID4357","DisplayName":"","IsInternal":true,"ConnectionDescription":"Internal","PhysicalSize":16.0043125}]  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfo.cs(65行)
2022-07-23 11:55:14,811 INFO  [35964-21] DisplayInfoGet   DisplayInfo.GetDisplayMonitorsAsync()获取到显示器数量：2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(48行)
2022-07-23 11:55:14,811 INFO  [35964-21] DisplayContext  EnumerateDevices() 开始获取显示器枚举信息  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(73行)
2022-07-23 11:55:14,812 INFO  [35964-21] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 11:55:14,813 INFO  [35964-21] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 11:55:14,815 INFO  [35964-21] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 11:55:14,815 INFO  [35964-21] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 11:55:14,816 INFO  [35964-21] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY3  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 11:55:14,817 INFO  [35964-21] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:3  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 11:55:14,818 INFO  [35964-21] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY4  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 11:55:14,819 INFO  [35964-21] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:4  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 11:55:14,820 INFO  [35964-21] DisplayInfoGet  [{"DeviceInstanceId":"DISPLAY\\MSI3CA3\\5&14475071&0&UID4356","Description":"Generic PnP Monitor","DisplayIndex":1,"MonitorIndex":0}]  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(52行)
